chassis,variant,mc_idx,alpha,r_max,kd_max,beta_ATPM,Ka_r,Ki_r,PFL_inh_K,gamma_NADH,X,glc,EtOH,For,Ac,peak_S,opt_frac
LY01,A,0,1.143680302457659,10.142898317324885,4.191858363362996,0.1245029807837296,2.7273704465599398,11.534429050876243,1.4713159711146826,0.02502448100270767,0.19002673502155865,46.296877200747694,14.395112287784723,2.7349454931899704,0.09812553560537866,9.778466586012984,1.0
LY01,A,1,0.2020336984123124,11.182630876017276,3.5102009686075197,0.07230093156577343,1.9851972422705912,14.101587506830723,0.6638217616429862,0.03903449743625469,0.3566114566865448,39.02755304765196,26.2875966548909,5.339361468228995,0.183071412269639,1.7273881214252709,1.0
LY01,A,2,0.8667879603928206,11.708080087244415,4.014921411418089,0.09900167144175634,2.7924427068610322,15.658073769386476,0.7786097510515667,0.014705213990649491,0.28485324110370264,42.135111830836294,21.243760658052324,4.071856573659876,0.14620560479554087,7.411037061358616,1.0
LY01,A,3,0.3485511705079271,11.625917939288048,5.138272389150734,0.0739001063951793,1.3521844202988444,11.236702714852,1.4787815715921844,0.02269392389287607,0.35228613997728564,39.209259451547744,26.02403072379296,5.111317160661466,0.1806967354157313,2.980112507842777,1.0
LY01,A,4,0.28700231747318916,13.826097322260841,3.2872097988298763,0.07898587185514294,2.841895074810626,9.227507337725967,1.0078955304984927,0.026936830801061303,0.3551837288781692,39.084833264272255,26.199422886174258,5.306871161050577,0.18226608863150184,2.453869814395768,1.0
LY01,A,5,0.05498676748006914,6.972648566072961,5.184837266788264,0.12014716173608875,1.3032199678021128,12.17646326016995,0.9784348818665769,0.01032264896971526,0.35842645478873025,38.95847331370221,26.39244425855644,5.3716524053343395,0.18414394408628731,0.4701368619545912,1.0
LY01,A,6,0.5964050430185366,10.951497288879438,3.2615052034079968,0.12248767568659147,0.974841566755546,15.434740556699044,0.87750025043945,0.037887015048971955,0.334054102358689,39.96152717540517,24.893725496840602,4.415418145738614,0.17077988009834677,5.099263117808488,1.0
LY01,A,7,1.2857918359522877,9.021965775343988,4.250218222863971,0.126483351736574,2.9809984514715753,10.644959001383418,1.1512128918205082,0.014035373495113438,0.1397683969208167,48.53111575051208,10.700370664799362,2.0447088730237053,0.07283117780099989,10.993520197392058,1.0
LY01,A,8,1.1101620905991025,6.457256727807196,3.9664304997354316,0.08630059632422857,1.3952179668446063,13.48783809829579,0.9624489712289631,0.016574363137500388,0.21099431824291254,45.38991778861437,15.86725466669474,3.0803598637241234,0.10903928461333624,9.491885874622326,1.0
LY01,A,9,0.4261971894314577,9.665040499237643,3.6641040261733053,0.1360475641392136,1.811516513254749,9.95504123447472,0.5096127943460395,0.012194692887595913,0.3482783382977414,39.3658734611941,25.765124447066068,5.139689960139246,0.17842915604733986,3.6439859696389636,1.0
