alpha,scenario,EtOH,Ac,For,peak_S,yield
0.75,AS-1,2.0383882787483434,0.4245648728346304,0.9611625734814662,23.2875,1.2852604302575834
0.8,AS-1,1.631669820020935,0.3152882475808483,0.718635911459328,24.84,1.2832527760189654
0.85,AS-1,1.3132426197878948,0.2363221341442838,0.5424476376770749,26.3925,1.275123946217315
0.9,AS-1,1.0642607426395922,0.178824021069743,0.413402529524098,27.945,1.2628206999745375
0.95,AS-1,0.8678926084175167,0.1365411822899925,0.3178900434546862,29.4975,1.2459610821666756
1.0,AS-1,0.7103752143808105,0.1050295768802294,0.24631117637472,31.05,1.2219288706754994
1.05,AS-1,0.584694995013502,0.0814189240886495,0.1923584800488218,32.6025,1.1933693024111334
1.1,AS-1,0.4837031271316384,0.0635757835694515,0.1513331541576202,34.155,1.160202013502916
1.15,AS-1,0.4016823307439113,0.0499702899586016,0.1198246847754898,35.7075,1.1216519866870331
1.2,AS-1,0.3345925467800522,0.039500317995322,0.0954261239931533,37.26,1.077585426082748
1.25,AS-1,0.279854618685483,0.0314087474568624,0.0764470584546168,38.8125,1.0298423232657736
1.3,AS-1,0.2349569795337712,0.0251122112787097,0.0615802421128426,40.365,0.9788757634972692
1.35,AS-1,0.1977176934897992,0.0201668660663211,0.0498280864513189,41.9175,0.9242274574588936
1.4,AS-1,0.166824996594984,0.016271466986564,0.0404978093755248,43.47,0.8672813898010145
1.45,AS-1,0.1412028114298715,0.0131876596700986,0.0330638995404229,45.0225,0.8093847048416587
1.5,AS-1,0.1198648399087365,0.0107333667541545,0.0271074917086368,46.575,0.751263920889299
0.0,AS-2,18.002018143460575,17.07452495632927,36.00403628692115,0.0,0.8370181801350152
0.05,AS-2,17.991655719655533,16.18803015013648,34.171720556133,0.4275,0.8595306459361042
0.1,AS-2,18.148386703284228,14.62272077401967,30.944318224726327,0.855,0.9064865541612868
0.15,AS-2,18.474101441745248,13.128004386593142,27.869698627200577,1.2825,0.959503770076832
0.2,AS-2,18.88544934346277,11.812475914603676,25.16871163534283,1.71,1.0125111120971937
0.25,AS-2,19.32286503322545,10.664265340022794,22.81438743997832,2.1375,1.0632849428683224
0.3,AS-2,19.74920761786884,9.657097898707152,20.75093093691909,2.565,1.1109237735247688
0.35,AS-2,20.1401341828818,8.767046111551444,18.92792368055193,2.9925,1.1550942990807718
0.4,AS-2,20.4781534766512,7.974490565985036,17.30412860662386,3.42,1.1957429141252591
0.45,AS-2,20.749403682035062,7.263572935952141,15.84622761975498,3.8475,1.232963961242901
0.5,AS-2,20.941975603487386,6.621408825867025,14.52712676515595,4.275,1.2669314676266787
0.55,AS-2,21.04512626522381,6.037457322848405,13.32462166178017,4.7025,1.2978604579722224
0.6,AS-2,21.04904371579076,5.503068473292845,12.22045301005008,5.13,1.32598371235375
0.65,AS-2,20.94497829527159,5.0111645626752575,11.199653414672529,5.5575,1.3515373772078614
0.7,AS-2,20.725624384348688,4.556010730729499,10.250088890231606,5.985,1.3747520263945716
0.75,AS-2,20.385661819279928,4.133040690301394,9.362120610294202,6.4125,1.3958472466281198
0.8,AS-2,19.897774526943827,3.7370551432032126,8.524851954703644,6.84,1.413471280721444
0.85,AS-2,19.27895208481844,3.36663643688294,7.735426006509425,7.2675,1.4286938498998962
0.9,AS-2,18.626608209750955,3.020463085354624,6.991312392971697,7.695,1.4487473932130266
0.95,AS-2,17.677393924317027,2.696174380926556,6.287937548116505,8.1225,1.4526828529463764
1.0,AS-2,16.726629117038993,2.3948494268491887,5.628087687939195,8.55,1.462369207924663
1.05,AS-2,15.681849152198966,2.1145681223104886,5.008391758966796,8.9775,1.4694287316476442
1.1,AS-2,14.580475831792404,1.8565065027363885,4.431411838746058,9.405,1.4753843212766258
