chassis,variant,mc_idx,alpha,r_max,kd_max,beta_ATPM,Ka_r,Ki_r,PFL_inh_K,gamma_NADH,X,glc,EtOH,For,Ac,peak_S,opt_frac
KO11,A,0,1.143680302457659,10.142898317324885,4.191858363362996,0.1245029807837296,2.7273704465599398,11.534429050876243,1.4713159711146826,0.02502448100270767,0.20824333908145937,45.935324866918414,12.731276064742609,5.703160696481322,2.5146827632265794,9.778466586012984,1.0
KO11,A,1,0.2020336984123124,11.182630876017276,3.5102009686075197,0.07230093156577343,1.9851972422705912,14.101587506830723,0.6638217616429862,0.03903449743625469,0.468943787189757,36.29874688159746,18.837530396711408,25.415099588543526,11.932620498144955,1.7273881214252709,1.0
KO11,A,2,0.8667879603928206,11.708080087244415,4.014921411418089,0.09900167144175634,2.7924427068610322,15.658073769386476,0.7786097510515667,0.014705213990649491,0.3190251667884034,41.46596662973625,18.09277120048783,10.163951747188635,4.566895111991318,7.411037061358616,1.0
KO11,A,3,0.3485511705079271,11.625917939288048,5.138272389150734,0.0739001063951793,1.3521844202988444,11.236702714852,1.4787815715921844,0.02269392389287607,0.40438597149107436,38.15499293811874,21.418300781817347,14.640815330577452,6.66535683017713,2.980112507842777,1.0
KO11,A,4,0.28700231747318916,13.826097322260841,3.2872097988298763,0.07898587185514294,2.841895074810626,9.227507337725967,1.0078955304984927,0.026936830801061303,0.45978210340539405,36.596183358763035,18.973572616607417,24.20893034903443,11.3464476824535,2.453869814395768,1.0
KO11,A,5,0.05498676748006914,6.972648566072961,5.184837266788264,0.12014716173608875,1.3032199678021128,12.17646326016995,0.9784348818665769,0.01032264896971526,0.5286613622533385,34.291689447003996,18.014977028989843,33.40760752694147,15.81768883190674,0.4701368619545912,1.0
KO11,A,6,0.5964050430185366,10.951497288879438,3.2615052034079968,0.12248767568659147,0.974841566755546,15.434740556699044,0.87750025043945,0.037887015048971955,0.35155505786995683,39.6230910573679,23.26058484593613,6.526639949627873,2.7037083761152796,5.099263117808488,1.0
KO11,A,7,1.2857918359522877,9.021965775343988,4.250218222863971,0.126483351736574,2.9809984514715753,10.644959001383418,1.1512128918205082,0.014035373495113438,0.1541057489961411,48.24226312933884,9.411512639507881,4.404367825636422,1.9505814432471134,10.993520197392058,1.0
KO11,A,8,1.1101620905991025,6.457256727807196,3.9664304997354316,0.08630059632422857,1.3952179668446063,13.48783809829579,0.9624489712289631,0.016574363137500388,0.22594596455251692,45.06541692528986,14.65739148671318,4.914865027545155,2.0930368891297837,9.491885874622326,1.0
KO11,A,9,0.4261971894314577,9.665040499237643,3.6641040261733053,0.1360475641392136,1.811516513254749,9.95504123447472,0.5096127943460395,0.012194692887595913,0.4117551892217533,38.01430920296544,20.51058750723451,16.803192539683597,7.732271455047932,3.6439859696389636,1.0
KO11,A,10,0.15672120578879825,6.29442629337801,4.41463932503131,0.08803439294004438,1.1096986539682436,13.103765158035616,0.5931335232932284,0.023293021998619833,0.4713120828604342,36.20497677879197,18.91206558726086,25.57520295593677,12.008312502064168,1.339966309494225,1.0
KO11,A,11,1.3360518681674896,7.98050956978427,2.8866462593540643,0.07087051654600886,1.8471743368048013,14.819200496625593,0.7496012432190923,0.030045881898990476,0.18286198612257393,46.8700840525704,12.203107465273474,3.6413603312256715,1.5284248844061579,11.423243472832036,1.0
KO11,A,12,0.7991552710765428,9.469468227539288,2.8655689873793193,0.10687013860458158,1.2432046239891432,12.695385565953877,1.2839657230506671,0.03440357433268267,0.32974498478683745,40.581075980917525,21.612574750651046,6.5013532285397835,2.724843018029793,6.832777567704442,1.0
KO11,A,13,0.18081431805851583,8.795456115468948,3.88941262670071,0.12112924304912277,0.8828233048942892,10.224773288310104,0.6698236669553284,0.018252472330089427,0.4331034247766622,37.34234104756029,20.26038714243501,19.407091514643835,8.995564985071095,1.5459624194003103,1.0
KO11,A,14,1.0850418006977987,10.716842287891808,5.819445177968662,0.1033594026493897,1.5467110812263747,14.494659733048245,1.3602882081826342,0.03774371388687409,0.1822839746237366,46.83723242115845,12.572203586317267,3.073456686603633,1.2434748278705345,9.277107395966176,1.0
KO11,A,15,1.4796092533787926,10.020145317007323,5.092614047736442,0.08919615538294419,2.546366006250029,11.18843706309768,1.0479874566850471,0.01953784056421984,0.06766743305625479,51.87327597498373,4.685268352359753,1.4230544679261314,0.5985783691896326,12.650659116388677,1.0
KO11,A,16,1.4299456697601893,8.460811004589623,2.849327118516968,0.13885488450311628,2.182789733092269,14.762365952359264,1.2418714002292992,0.018517219875910363,0.1535738017716201,48.118028852471156,10.254140538722515,3.2586750601754133,1.3805547357616852,12.226035476449617,1.0
KO11,A,17,0.2829524596071516,11.351994816430555,2.7831227308318818,0.11666141593027748,1.736926986246416,14.560098969029557,0.6063173363410865,0.0319565922758592,0.43472422287907986,37.33309871141091,19.877664516548048,20.16100920525566,9.369315793881903,2.419243529641146,1.0
KO11,A,18,1.0407648561893823,10.452578027669768,5.443491984875742,0.0649794918028805,2.332934508946786,9.032652671045872,1.4959220644798181,0.01615185958208737,0.22146681349851455,45.37118625804031,13.713674264870455,5.663771125618593,2.47308279458703,8.898539520419217,1.0
KO11,A,19,0.3758080570946692,7.673495294493803,4.317532200059761,0.11175716727067883,2.752262454186954,14.292135121956534,0.9481460844834532,0.03992646019898147,0.456843694225771,36.704326309134466,18.748256193070173,24.300105837297053,11.396871895978924,3.213158888159422,1.0
KO11,A,20,0.914370088838532,12.699765665860696,5.9284701980224845,0.08315003367962163,1.4286216854883416,9.543498960512986,1.1871527255189336,0.01112607851789739,0.25191435780722493,43.834339896582215,17.25727289839121,4.05390857538853,1.623828131029064,7.817864259569449,1.0
KO11,A,21,1.4192266049317115,10.24463426897341,5.7937125796316575,0.12439023825833137,1.3750077267233936,9.204149296913153,1.4391537828686878,0.015015548393246718,0.06506978688558215,51.92719349733303,4.889408937714431,0.8765109197386072,0.3300419999104022,12.134387472166136,1.0
KO11,A,22,1.1777805941713213,9.322882365882919,4.4507215155430595,0.08394914358350967,2.2883916652434815,14.92561207268221,1.477421007199431,0.02460095755812431,0.18717234678890432,46.778045586361046,11.880681448842402,4.537747289639509,1.965333845947691,10.070024080164798,1.0
KO11,A,23,0.979161393520436,11.07367972844158,5.6803361608298495,0.11927692027161406,2.4734000381816195,11.605393316486817,0.9950228593093164,0.011987473913171459,0.2408373437602026,44.58022683503806,14.623858795299338,6.55276078809051,2.887514158990639,8.37182991459973,1.0
KO11,A,24,1.4052819171289683,13.242222716676276,3.862871400341689,0.06968831916848357,0.8390526366109909,12.81449673855292,1.0672779623640083,0.021929131731174577,0.11664407626644145,49.574399729016235,8.970315542684585,0.898477272798412,0.2598338194004823,12.01516039145268,1.0
KO11,A,25,1.1537234230734932,13.011224457445346,4.624133422163153,0.12146242955163802,1.8967553101617662,15.64947663438523,0.8872319923605918,0.02925629172095403,0.18157078626214906,46.85858066551051,12.571992808149425,3.013444479297217,1.2151197588018245,9.864335267278367,1.0
KO11,A,26,0.19356188604048227,6.1733652016200615,2.911547841019865,0.08331563343265527,1.1197692479462455,12.53171373837678,0.9374493428514884,0.03219548978245747,0.45898010625759833,36.580641578840805,19.285163432827336,23.674041791015917,11.080731617129986,1.6549541256461233,1.0
KO11,A,27,1.4723785416961703,7.566919777807664,5.470480037184096,0.09509389005231224,0.8272923541193947,10.602945692068982,1.1999346080833813,0.01602593909616504,0.05942040316644722,52.176018387940374,4.519773826161671,0.7516223341624254,0.27627257652742926,12.588836531502256,1.0
KO11,A,28,1.109646745463023,10.612555734792078,3.562794879591424,0.13102656826032388,2.469604323147946,12.404419567525299,0.9233596022707854,0.03749794983514406,0.23490256859937164,44.748314219951865,14.704630131608141,5.8890943420640385,2.566941251702413,9.487479673708846,1.0
KO11,A,29,1.232181883786051,7.3897077026690035,5.278701802275457,0.13462036350739617,0.940227891418477,15.34622975259235,1.269572833215916,0.017544094070638686,0.1352638381806661,48.82931123057438,9.70365355406977,1.965111713932388,0.7635794222275363,10.535155106370736,1.0
