chassis,variant,mc_idx,alpha,r_max,kd_max,beta_ATPM,Ka_r,Ki_r,PFL_inh_K,gamma_NADH,EtOH,peak_S,X_final,yield
LY160,A,161,0.5364474112286097,13.324234789270855,4.1812507732317945,0.1082109762571029,1.3211465744807245,10.468048116451032,1.2265768494187608,0.0333171151288649,25.14075286338403,4.586625366004613,0.3382335503448033,1.653314195109781
LY160,A,162,0.5563188497791923,8.528534784023467,5.006610249742568,0.0757968008272968,1.178212467895842,9.009714435596134,0.9350719201501088,0.0259107063845305,24.976919104611017,4.756526165612095,0.3371870907218637,1.649322265678643
LY160,A,163,0.5409840280749371,10.223080984159775,4.215744368577312,0.0773077382425809,2.43990875308376,15.449404073759112,0.8679048993037238,0.0144513280335049,25.294782748296623,4.625413440040711,0.3420738264627898,1.6476035126485702
LY160,A,164,0.6132784672952352,8.72812538955663,2.584611080377298,0.0824476684193902,1.1397524141673707,11.065815403961778,0.4340963205051171,0.0311586370982074,25.136051208572272,5.243530895374261,0.3387413486309221,1.6513490120705314
LY160,A,165,0.5980806815378139,9.192822444516512,3.113165777747095,0.1139156914521482,2.897011276470145,15.896603374256635,1.4199088038651873,0.0352346044328203,24.99951383760317,5.11358982714831,0.337211614465521,1.6485429417314643
LY160,A,166,0.5322547865150955,10.459458407756898,2.958992441813783,0.0716999282281704,1.4389826042704674,14.677589591942226,1.2019323302064513,0.0109735318439717,25.584424159051306,4.550778424704067,0.34572863611037,1.6494389241802143
LY160,A,167,0.6179196230971642,13.939329549244304,4.942808099029941,0.0694641850197299,1.907798360636085,9.471175551588956,1.2602375788916187,0.0277805806204953,24.41200564282813,5.283212777480754,0.3288923140227734,1.651373538651316
LY160,A,168,0.6732200926462982,6.366154807641478,3.7055696561028406,0.1065592144686294,1.0230401919005572,11.768472327102751,1.4616015965377178,0.0116966772046107,24.26368240754791,5.7560317921258495,0.3271768739726972,1.6486503256065534
LY160,A,169,0.6038659049048353,12.63303514469678,3.85728253013794,0.1023292248516059,1.21850093148535,15.743678673418358,1.0374388965588313,0.0237865109219274,24.77376487026496,5.163053486936342,0.3328616824243075,1.654610521695337
LY160,A,170,0.5584217645584918,6.194219871357622,3.069809488604903,0.1130899222892752,1.7014312330211534,13.540758932983174,0.5668537498784516,0.0398125544163576,25.24257341852868,4.774506086975105,0.3406558680506765,1.6483754881664312
LY160,A,171,0.5616006580769565,6.935729706517668,3.671723977249109,0.1350065454792263,0.8879351417646907,9.89414455202236,0.7590563505070567,0.0250875289207521,25.056912323862104,4.801685626557978,0.337744961953285,1.649619425136671
LY160,A,172,0.5182926464238944,11.018850277642091,3.729991677891269,0.1296840472298058,0.8031666105629595,12.00479801300906,1.312314511238923,0.0166281450162581,25.32395071760895,4.431402126924297,0.3402193278408712,1.6553318877461909
LY160,A,173,0.6952417747270666,13.66611173579606,4.658292098975725,0.0619166159823635,2.372995674763409,12.653291929635737,0.6465833146092516,0.0180038211079936,23.6706117927809,5.944317173916419,0.318950006169145,1.6504702491387837
LY160,A,174,0.6816085935841707,11.798787942884855,3.4854050472832947,0.1094780957921581,2.267978534243784,9.20388677404345,0.7299735339530555,0.0362639401765033,24.154654740316065,5.827753475144659,0.3249167615461776,1.6509315145053556
LY160,A,175,0.6423360408866087,11.650226847641411,5.4249056927662505,0.063618942564595,2.7649091952902163,12.04005876373831,1.477159270919734,0.0187473717990394,24.04294563604439,5.491973149580504,0.3245900792942841,1.6483144717085685
LY160,A,176,0.5621823991437963,8.283926663073032,5.112868928037596,0.1206112457715562,2.5468624075729807,10.908372376356729,0.6588870164856662,0.0295139759138222,24.77745356450345,4.806659512679458,0.3342835037080721,1.648248137961081
LY160,A,177,0.6612929580797403,13.476504887085946,5.979716335556544,0.1096153709284479,2.422645802826117,13.350411257767009,0.5551764657575766,0.0211626746278983,23.388284838337675,5.65405479158178,0.3145320730307201,1.6510697917365236
LY160,A,178,0.6489580860098805,11.056214078424505,2.703956657010988,0.1336990295902122,1.3694575057549727,13.973365252832297,1.490628194216923,0.0114309643890943,24.757274972601483,5.5485916353844775,0.3327372715593623,1.6531854461278064
LY160,A,179,0.5390760851839366,7.475263001626592,5.299681334428698,0.0880960917757835,2.1337918665583224,13.676440573651234,1.410347147168029,0.0255137777628697,25.046631204734293,4.609100528322657,0.3385171006472625,1.647397189410344
LY160,A,180,0.5093879166929955,10.752521077492268,5.396737873881273,0.1389869561824283,1.2548166665055076,14.9423599930909,1.1738620971156446,0.0308898903080854,25.05393050022228,4.355266687725112,0.3373043925575179,1.6515979799542782
LY160,A,181,0.5816942237246682,11.53696823137346,3.765596271771887,0.1110918451973964,1.5730915633344371,15.048585037474076,0.6098368298892454,0.015790984768208,24.975209957683592,4.973485612845913,0.3364935973111723,1.6512036667510317
LY160,A,182,0.5232740245055373,11.442549087293518,3.415174039771884,0.0901207913092745,1.7135359059389597,9.132135646921643,0.4087650035452129,0.0245503481358591,25.445129455615607,4.4739929095223445,0.3434834784709367,1.6498982347064766
LY160,A,183,0.5016620227479683,7.240115065338972,3.453413670571244,0.0930081366724189,0.9616119630206807,13.03450820717735,1.159412756014237,0.0149771964863848,25.587567348171586,4.289210294495129,0.3458829602751689,1.6483091892833914
LY160,A,184,0.6279474923058161,9.727287639993918,5.452686092676199,0.064338714406934,1.536363514209686,15.626834631843778,1.3362630940572937,0.0377854301222786,24.13123742776556,5.368951059214728,0.3252619485832796,1.6500649675901782
LY160,A,185,0.5559779016935188,7.113788561590056,2.6286698038897,0.0609778708226609,1.3331872421063264,11.34002684419384,0.6922574839343105,0.0182209985404971,25.580217207645944,4.753611059479586,0.3461581574702712,1.647324529985236
LY160,A,186,0.6587853860235822,12.20502909360922,4.352195038164112,0.0894377708431831,1.9543910198446357,14.303852762974197,1.1212341866385944,0.0313198348903624,24.10478415961447,5.632615050501627,0.3244220109867824,1.6512787137800609
LY160,A,187,0.5944835574672235,6.991000002936549,3.6420155863756873,0.0675830062259685,1.399052707704764,15.17591140317521,1.4312150142607378,0.0386654888901914,25.015248069450063,5.0828344163447605,0.3379393220811676,1.647930859047432
LY160,A,188,0.6697255298337986,6.56017763976513,2.744845393153047,0.0983815458263717,1.5097939796134936,12.96377551852881,0.8917479842362332,0.0304781926350049,24.68325515178972,5.726153280078979,0.3329094010994294,1.648459329975479
