chassis,variant,mc_idx,alpha,r_max,kd_max,beta_ATPM,Ka_r,Ki_r,PFL_inh_K,gamma_NADH,EtOH,peak_S,X_final,yield
WT,A,0,0.8915507608384854,13.709934723472577,3.871937147952451,0.0898224176852806,1.626984298420855,9.339253497524757,0.676517972690827,0.0151987787378793,19.443754776787323,7.6227590051690495,0.2926274299373827,1.510165120970572
WT,A,1,0.3182187700922929,9.63407056690988,3.406872337949581,0.1317624267725591,0.9286875773279752,10.622564445064226,0.782698117712856,0.0260353139500555,22.10001488527225,2.7207704842891047,0.3957499251523587,1.3262281292548852
WT,A,2,0.8461279296558695,6.052154482046398,3.187969416376462,0.1165070158184554,2.8681043106440613,9.798949755191698,1.3049769536749796,0.0209703802691285,17.719994494730063,7.234393798557685,0.3609412730535101,1.1876569555779837
WT,A,3,0.2828010460990224,8.149399250540187,5.091265694867314,0.101585444758034,1.5227741281055325,9.941490150996088,0.7067333396545701,0.0101385453734349,19.76517460718135,2.4179489441466417,0.440512034572138,1.1073431872510564
WT,A,4,0.4985090922879801,13.236311750566102,3.690190044194504,0.0756962861677264,1.9796206199013937,9.437168128111624,1.15529798582952,0.012897626022945,21.25644970980302,4.26225273906223,0.3942296855355409,1.2895390910064897
WT,A,5,0.630874541125336,11.13982716503611,3.131808027095504,0.0955820046989021,2.0795803566943096,11.98971716409352,0.6102302928261875,0.0227663197070139,20.95616864573434,5.393977326621624,0.3777338470872491,1.3176305905367491
WT,A,6,0.75422075838033,7.058932989039807,2.6962073812176706,0.1198091460505472,1.4770046225389764,14.939593425458154,1.2671578221341642,0.0211962146640082,21.008772340553403,6.448587484151822,0.3553370073852359,1.3831238208795027
WT,A,7,0.4094039063665002,12.139681142419477,3.99805186338008,0.1007226622975712,1.7868208139193928,15.291220259789888,1.171939920180089,0.0104037192417287,20.946629558168663,3.5004033994335773,0.4068363703539597,1.2418896821684828
WT,A,8,1.3899287477209037,13.665325501073912,3.768349348721959,0.0629765567573746,1.7075937966425916,15.95375255020156,1.1966584493414762,0.0161135778362679,9.315441476486514,11.883890793013723,0.1272503013710603,1.598110579135385
WT,A,9,1.0733554822851192,11.76842224638833,5.749729309502307,0.0807705689788395,1.304213460979859,9.667159527600148,1.0880740342141526,0.0214283919304748,13.362673877173432,9.177189373537772,0.1881483385698646,1.5781560600878224
WT,A,10,0.0417584731365962,13.125324708556414,4.217003117905364,0.0718256041365905,2.8999980634665707,11.117388448270596,0.9775084276398832,0.0319498187897241,17.982402856801478,0.3570349453178975,0.5440658074010353,0.8458314383421328
WT,A,11,0.3849647031049108,13.007554693100516,2.913033734877459,0.1382934411506095,1.2532753379953332,14.197135755108508,1.4305477920717666,0.0183169341406436,22.20970724496249,3.291448211546988,0.3883642032525787,1.3517710505652354
WT,A,12,0.366095802921601,13.771693859535414,5.40247284005603,0.1264912832569469,1.1736622897395883,12.091287784399634,1.001179554083562,0.0374167290134566,22.320839628277955,3.130119114979689,0.384542147270242,1.3679560223825733
WT,A,13,0.7922103057699905,13.985973135236508,5.782023793968653,0.066985930802395,2.787953793730063,12.215801330756529,1.037912462060809,0.038864361691768,18.11917931617229,6.773398114333419,0.3180452382264581,1.342496078901838
