chassis,variant,gsmm,alpha,X,glc,EtOH,For,Ac,yield,peak_S
KO11,B,iML1515,1.05,0.11329504741112721,48.39777568469757,10.592528737367392,2.9853571774074465,1.3446967184612688,1.6043878898231858,8.9775
KO11,B,iML1515,1.2,0.08697311387878302,49.84412823231743,8.427704864331018,2.042897315143441,0.9074002544904881,1.6345838771934882,10.26
KO11,B,iML1515,1.35,0.062200703796845856,51.23083476531377,6.254073209682239,1.3219547003490493,0.5788571632717677,1.6592727620769518,11.5425
KO11,B,iML1515,1.5,0.04167220492677192,52.39819575421513,4.3719424041168145,0.8121373811640572,0.35050502115062576,1.6803502458725363,12.825
LY160,B,iML1515,0.0,0.16488021866642424,45.22774589691973,17.44524197017656,1.9810785677558824,0.06788415107083821,1.7851809609287297,0.0
LY160,B,iML1515,0.15,0.1641708094558116,45.26138990399507,17.39081872648811,1.968938077614645,0.0674681418926877,1.7857598317466616,1.2825
LY160,B,iML1515,0.3,0.16303955941974843,45.31935298945953,17.29292519385077,1.951920668089737,0.06688501893238448,1.7863398154092296,2.565
LY160,B,iML1515,0.45,0.16042418024858748,45.4628621159749,17.04212179940773,1.91774468842952,0.06571393596575792,1.7869220311843905,3.8475
LY160,B,iML1515,0.6,0.15471338677757895,45.7850415555485,16.47182501661915,1.8478522520800256,0.063318983647823,1.7875094191593615,5.13
LY160,B,iML1515,0.75,0.14419213753202212,46.385550702100026,15.403563727984762,1.722569402404218,0.059026009087196955,1.7881077704804458,6.4125
LY160,B,iML1515,0.9,0.12785874324784754,47.32380592666136,13.73262323263702,1.5191903251437124,0.05243848159009399,1.7889885406016353,7.695
LY160,B,iML1515,1.05,0.10641707577649387,48.56150925025479,11.52530250808972,1.255131890919439,0.04384013339364487,1.7900627578824748,8.9775
LY160,B,iML1515,1.2,0.08243502334460918,49.952789276894265,9.041302697804934,0.9646463554626244,0.034241423426690315,1.791346387899867,10.26
LY160,B,iML1515,1.35,0.05936786605655052,51.29914726417008,6.635380393827965,0.6890464482764055,0.024999025836591034,1.792932836691211,11.5425
LY160,B,iML1515,1.5,0.039991226243700495,52.43908879962666,4.5967248481420855,0.46016699159999713,0.01720631585518505,1.7949567511251292,12.825
